,발생일,발생시간,발생지_시도,발생지_시군구,요일,사고내용,사고유형_대분류,사고유형_중분류,가해자법규위반,가해자성별,가해자연령,가해당사자종별,가해자신체상해정도,피해자성별,피해자연령,피해당사자종별,피해자신체상해정도,가해차량용도_대분류,가해차량용도_중분류,가해차량용도,피해차량용도_대분류,피해차량용도_중분류,피해차량용도,기상상태,노면상태,사망자수,중상자수,경상자수,부상신고자수,응급실 개수,시군구별_인구,Risk
0,20170101,00시,경북,구미시,일,중상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,중상,여,21-30세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,8,0,1,3,421012.0,25
1,20170101,02시,충남,홍성군,일,사망,차대차,추돌,안전운전 의무 불이행,남,41-50세,승용차,사망,남,31-40세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,1,0,1,0,1,101025.0,13
2,20170101,03시,경북,상주시,일,경상,차대차,기타,안전운전 의무 불이행,남,31-40세,특수차,상해없음,남,31-40세,승용차,경상,사업용,위험물운송,위험물운송,사업용,렌터카,렌터카,맑음,건조,0,0,2,0,2,100644.0,2
3,20170101,04시,서울,금천구,일,부상신고,차대차,측면충돌,기타,기타불명,불명,불명,기타불명,남,21-30세,승용차,부상신고,불명,불명,불명,사업용,렌터카,렌터카,맑음,젖음/습기,0,0,0,1,1,233960.0,1
4,20170101,07시,강원,강릉시,일,경상,차대차,추돌,안전운전 의무 불이행,여,21-30세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,4,0,4,213450.0,4
5,20170101,08시,전남,함평군,일,경상,차대차,기타,중앙선 침범,남,21-30세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,3,0,0,33536.0,3
6,20170101,11시,강원,평창군,일,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,51-60세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,2,0,0,42603.0,2
7,20170101,13시,강원,강릉시,일,경상,차대차,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,31-40세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,0,2,0,4,213450.0,2
8,20170101,15시,충북,진천군,일,중상,차대차,추돌,안전거리 미확보,남,21-30세,승용차,상해없음,남,21-30세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,5,3,0,1,77660.0,18
9,20170101,16시,강원,원주시,일,경상,차대사람,횡단중,안전운전 의무 불이행,여,41-50세,승용차,상해없음,남,61-64세,보행자,경상,비사업용,승용차,승용차,보행자,보행자,보행자,흐림,건조,0,0,1,0,2,344874.0,1
10,20170101,16시,강원,횡성군,일,중상,차대차,기타,안전운전 의무 불이행,여,41-50세,승용차,중상,여,41-50세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,1,3,0,0,46527.0,6
11,20170101,17시,강원,평창군,일,경상,차대차,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,사업용,렌터카,렌터카,맑음,건조,0,0,4,0,0,42603.0,4
12,20170101,17시,울산,울주군,일,경상,차대차,추돌,안전거리 미확보,남,65세이상,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,1,3,1,221909.0,4
13,20170101,18시,충북,청주시,일,경상,차대차,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,0,0,2,0,7,837635.0,2
14,20170101,19시,전북,정읍시,일,중상,차대차,추돌,안전거리 미확보,남,20세이하,승용차,경상,남,51-60세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,맑음,건조,0,3,3,0,1,112162.0,12
15,20170101,20시,충남,공주시,일,사망,차대차,기타,안전운전 의무 불이행,남,51-60세,승용차,경상,남,41-50세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,맑음,건조,1,4,2,0,1,107496.0,26
